[6/19/22 01:39AM] Sugary used command ::tele 3222 3222 | Player rights = PLAYER	
[6/19/22 01:43AM] Sugary used command ::emoty | Player rights = DEVELOPER	
[6/19/22 01:43AM] Sugary used command ::empty | Player rights = DEVELOPER	
[6/19/22 01:43AM] Sugary used command ::item 23187 1 | Player rights = DEVELOPER	
[6/19/22 01:43AM] Sugary used command ::empty | Player rights = DEVELOPER	
[6/19/22 01:43AM] Sugary used command ::item 23279 | Player rights = DEVELOPER	
[6/19/22 01:49AM] Sugary used command ::empty | Player rights = DEVELOPER	
[6/19/22 01:49AM] Sugary used command ::item 23279 | Player rights = DEVELOPER	
[6/19/22 01:58AM] Sugary used command ::item 23197 1 | Player rights = DEVELOPER	
[6/19/22 01:59AM] Sugary used command ::empty | Player rights = DEVELOPER	
[6/19/22 01:59AM] Sugary used command ::item 23279 | Player rights = DEVELOPER	
[6/19/22 01:59AM] Sugary used command ::empty | Player rights = DEVELOPER	
[6/19/22 02:00AM] Sugary used command ::item 23279 | Player rights = DEVELOPER	
[6/28/22 04:42PM] Sugary used command ::spass | Player rights = DEVELOPER	
[6/28/22 04:46PM] Sugary used command ::spass | Player rights = DEVELOPER	
[6/28/22 04:52PM] Sugary used command ::config 1714 1 | Player rights = DEVELOPER	
[6/28/22 05:41PM] Sugary used command ::spass | Player rights = DEVELOPER	
[6/28/22 08:01PM] Sugary used command ::spass | Player rights = DEVELOPER	
[6/28/22 08:02PM] Sugary used command ::moveint 105000 10 5 5 | Player rights = DEVELOPER	
[6/28/22 08:02PM] Sugary used command ::moveint 105000 10 5 5 | Player rights = DEVELOPER	
[6/28/22 08:02PM] Sugary used command ::moveint 105000 10 50 50 | Player rights = DEVELOPER	
[6/28/22 08:02PM] Sugary used command ::moveint 105000 10 60 90 | Player rights = DEVELOPER	
[6/28/22 08:03PM] Sugary used command ::moveint 105000 10 90 80 | Player rights = DEVELOPER	
[6/28/22 08:03PM] Sugary used command ::moveint 105000 10 100 85 | Player rights = DEVELOPER	
[6/28/22 08:03PM] Sugary used command ::moveint 105000 10 120 87 | Player rights = DEVELOPER	
[6/28/22 08:03PM] Sugary used command ::addspassxp | Player rights = DEVELOPER	
[6/28/22 08:03PM] Sugary used command ::spass | Player rights = DEVELOPER	
[6/28/22 08:04PM] Sugary used command ::moveint 105000 10 110 87 | Player rights = DEVELOPER	
[6/28/22 08:04PM] Sugary used command ::moveint 105000 10 113 87 | Player rights = DEVELOPER	
[6/28/22 08:04PM] Sugary used command ::moveint 105000 10 114 87 | Player rights = DEVELOPER	
[6/28/22 10:22PM] Sugary used command ::addspassxp 3 | Player rights = DEVELOPER	
[6/28/22 10:22PM] Sugary used command ::addspassxp 4 | Player rights = DEVELOPER	
[6/28/22 10:22PM] Sugary used command ::addspassxp 3 | Player rights = DEVELOPER	
[6/28/22 10:33PM] Sugary used command ::spass | Player rights = DEVELOPER	
[6/29/22 02:12AM] Sugary used command ::spass | Player rights = DEVELOPER	
[6/29/22 02:12AM] Sugary used command ::spass | Player rights = DEVELOPER	
[6/29/22 08:17PM] Sugary used command ::item 23275 | Player rights = DEVELOPER	
[6/29/22 08:17PM] Sugary used command ::spass | Player rights = DEVELOPER	
[7/2/22 04:02PM] Sugary used command ::dritems | Player rights = DEVELOPER	
[7/2/22 04:38PM] Sugary used command ::dritems | Player rights = DEVELOPER	
[7/2/22 04:43PM] Sugary used command ::dritems | Player rights = DEVELOPER	
[7/2/22 04:47PM] Sugary used command ::dritems | Player rights = DEVELOPER	
[7/2/22 06:48PM] Sugary used command ::dritems | Player rights = DEVELOPER	
[7/2/22 06:55PM] Sugary used command ::dritems | Player rights = DEVELOPER	
[7/2/22 07:01PM] Sugary used command ::dritems | Player rights = DEVELOPER	
[7/2/22 07:03PM] Sugary used command ::dritems | Player rights = DEVELOPER	
[7/2/22 07:03PM] Sugary used command ::item 23262 | Player rights = DEVELOPER	
[7/2/22 07:03PM] Sugary used command ::item 23261 | Player rights = DEVELOPER	
[7/2/22 07:04PM] Sugary used command ::item 23221 | Player rights = DEVELOPER	
[7/2/22 07:06PM] Sugary used command ::getid whip | Player rights = DEVELOPER	
[7/2/22 07:06PM] Sugary used command ::get whip | Player rights = DEVELOPER	
[7/2/22 07:06PM] Sugary used command ::itemid whip | Player rights = DEVELOPER	
[7/2/22 07:06PM] Sugary used command ::item 4151 | Player rights = DEVELOPER	
[7/6/22 05:01PM] Sugary used command ::tdb | Player rights = DEVELOPER	
[7/6/22 11:47PM] Sugary used command ::shop 4 | Player rights = DEVELOPER	
[7/6/22 11:47PM] Sugary used command ::openshop 1 | Player rights = DEVELOPER	
[7/6/22 11:47PM] Sugary used command ::store 1 | Player rights = DEVELOPER	
[7/6/22 11:48PM] Sugary used command ::npc 1392 | Player rights = DEVELOPER	
[7/6/22 11:48PM] Sugary used command ::npc 1394 | Player rights = DEVELOPER	
[7/7/22 12:07AM] Sugary used command ::npc 1394 | Player rights = DEVELOPER	
[7/7/22 12:10AM] Sugary used command ::npc 946 | Player rights = DEVELOPER	
[7/7/22 12:13AM] Sugary used command ::npc 52 | Player rights = DEVELOPER	
[7/7/22 12:13AM] Sugary used command ::npc 521 | Player rights = DEVELOPER	
[7/7/22 12:32AM] Sugary used command ::npc 591 | Player rights = DEVELOPER	
[7/7/22 12:32AM] Sugary used command ::npc 592 | Player rights = DEVELOPER	
[7/7/22 12:32AM] Sugary used command ::npc 521 | Player rights = DEVELOPER	
[7/7/22 12:36AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 12:37AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 12:37AM] Sugary used command ::reload shops | Player rights = DEVELOPER	
[7/7/22 12:37AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 12:38AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 12:38AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 12:39AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
[7/7/22 12:40AM] Sugary used command ::reloadshops | Player rights = DEVELOPER	
