[6/19/22 01:37AM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[6/19/22 01:40AM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[6/19/22 01:43AM] Emptied item (id:8326, amount:1) -- Starter helm	
[6/19/22 01:43AM] Emptied item (id:23187, amount:1) -- None	
[6/19/22 01:49AM] Emptied item (id:2, amount:100) -- Cannonball	
[6/19/22 01:58AM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[6/19/22 01:59AM] Emptied item (id:6199, amount:1) -- Mystery Box	
[6/19/22 01:59AM] DEFAULT|2085,4457,0|Said: :empty	
[6/19/22 02:00AM] Emptied item (id:14501, amount:1) -- Dagon'hai robe bottom	
[6/28/22 04:42PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[6/28/22 04:46PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[6/28/22 05:41PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[6/28/22 08:01PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[6/28/22 10:20PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[6/28/22 10:33PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[6/28/22 10:52PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[6/29/22 02:00AM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[6/29/22 02:11AM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[6/29/22 08:16PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/2/22 04:01PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/2/22 04:02PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/2/22 04:38PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/2/22 04:47PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/2/22 06:19PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/2/22 06:48PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/2/22 06:55PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/2/22 07:01PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/2/22 07:03PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/6/22 05:01PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/6/22 11:47PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/7/22 12:07AM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/7/22 12:13AM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/7/22 12:32AM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/7/22 12:32AM] DEFAULT|2084,4442,0|Said: >::npc 592	
[7/7/22 02:05AM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/7/22 02:06AM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/7/22 02:15AM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/9/22 02:35PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/9/22 03:52PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/9/22 03:54PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/9/22 03:56PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/9/22 03:56PM] DEFAULT|2084,4449,0|Said: :skulled	
[7/9/22 03:56PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/9/22 04:00PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/9/22 04:02PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/9/22 04:19PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/9/22 04:19PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/9/22 04:21PM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/10/22 01:59AM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/10/22 02:10AM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/10/22 02:22AM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
[7/10/22 02:30AM] Login. ip: 127.0.0.1, mac: C4N0AS27690015720220606172906.000000-300, uuid: 94-DB-C9-48-4C-6A	
