[7/10/21 05:32PM] Sender: Fam, Message: Anyone buying lamps?	
[7/10/21 05:51PM] Sender: Dlyzombicc, Message: Buying ranged bowwwwwwwww	
[7/10/21 05:52PM] Sender: Dlyzombicc, Message: Selling magic boots cheap af!	
[7/10/21 05:56PM] Sender: Dlyzombicc, Message: Selling magic boots! buying weapon	
[7/10/21 06:15PM] Sender: Dlyzombicc, Message: Oof.	
[7/10/21 06:16PM] Sender: Luke, Message: Uuft	
[7/10/21 07:57PM] Sender: Die or live, Message: Any1 selling range piece?	
[7/10/21 08:36PM] Sender: Die or live, Message: How cribge are those slay tasks drains pray every sec	
[7/10/21 08:42PM] Sender: Mr 45, Message: How i do agility?	
[7/10/21 08:42PM] Sender: Mr 45, Message: Got it	
[7/10/21 08:46PM] Sender: Die or live, Message: Buying range gear, 10$ bond	
[7/10/21 08:52PM] Sender: Mr 45, Message: Can you buy guam herbs from shop?	
[7/10/21 09:52PM] Sender: Mr 45, Message: Was that bj or 55x2?	
[7/10/21 11:51PM] Sender: Sga, Message: Pc aura (t4)	
[7/10/21 11:55PM] Sender: Remorse, Message: Selling monkioh set	
[7/10/21 11:58PM] Sender: Remorse, Message: Monkioh gloves and boots in my pos	
[7/11/21 12:02AM] Sender: Remorse, Message: Buying magic staff	
[7/11/21 12:02AM] Sender: Remorse, Message: Oops	
[7/11/21 12:39AM] Sender: Die or live, Message: Gg won gamble 800k pot	
[7/11/21 12:39AM] Sender: Remorse, Message: Rip zino	
[7/11/21 12:39AM] Sender: Zino, Message: Im down like 4m lmao	
[7/11/21 12:40AM] Sender: Mr 45, Message: Lol	
[7/11/21 12:40AM] Sender: Remorse, Message: Lmao im sure you got plenty :d	
[7/11/21 12:40AM] Sender: Zino, Message: Told yall come clean me	
[7/11/21 12:52AM] Sender: Mr 45, Message: Buying range body,legs! paying cash pm  me	
[7/11/21 12:56AM] Sender: Mr 45, Message: What ring is good for range?	
[7/11/21 12:56AM] Sender: Zino, Message: ::gamble	
[7/11/21 01:15AM] Sender: Mr 45, Message: Spending 1,1m on range gear! 	
[7/11/21 01:21AM] Sender: Mr 45, Message: Spending 1,2m on range gear	
[7/11/21 09:02AM] Sender: Shamdon, Message: Selling range bow pm me offer	
[7/11/21 10:05AM] Sender: Oli, Message: Bis cape for mage?	
[7/11/21 10:52AM] Sender: Ego, Message: Anyone hosting dice?	
[7/11/21 04:21PM] Sender: Ellisarmor, Message:  they forget the +10% to dr	
[7/11/21 04:23PM] Sender: Die or live, Message: Buying range top.legs 900k	
[7/11/21 04:29PM] Sender: Ellisarmor, Message:  selling nymora cbow +1875 	
[7/11/21 05:03PM] Sender: Ellisarmor, Message:  stable x3 xp pls	
[7/11/21 05:34PM] Sender: Luke, Message: Selling sorrow bow	
[7/11/21 05:38PM] Sender: Cam, Message: ::global	
[7/11/21 05:51PM] Sender: Rustic, Message: Is someone hosting	
[7/11/21 05:51PM] Sender: Oli, Message: I can	
[7/11/21 06:45PM] Sender: Vetprouddad, Message: Pc collectors	
[7/11/21 06:50PM] Sender: Vetprouddad, Message: How do i turn bonus xp on	
[7/11/21 07:34PM] Sender: Mr 45, Message: Selling t6 aura! pm me offers	
[7/11/21 07:38PM] Sender: Mr 45, Message: 11 votes till voteboss	
[7/11/21 07:43PM] Sender: Mr 45, Message: 9 votes till voteboss	
[7/11/21 07:52PM] Sender: Mr 45, Message: 5 votes till voteboss	
[7/11/21 07:54PM] Sender: Mr 45, Message: 3 more votes!	
[7/11/21 07:56PM] Sender: Mr 45, Message: 1 more vote!	
[7/11/21 07:57PM] Sender: Mr 45, Message: Selling aura t6! pm me offers	
[7/11/21 08:12PM] Sender: Mr 45, Message: Selling t6 aura! pm me offers	
[7/11/21 08:18PM] Sender: Mr 45, Message: Sellng t6 aura! pm me offers	
[7/11/21 08:27PM] Sender: Mr 45, Message: Anyone hosting?	
[7/11/21 08:28PM] Sender: Mr 45, Message: Selling t6 aura! pm me offers	
[7/11/21 08:38PM] Sender: Mr 45, Message: T6 aura is so op tbh	
[7/11/21 11:39PM] Sender: Vetprouddad, Message: Went global real fast	
[7/12/21 12:06AM] Sender: Bryson, Message: Pc slayer tickets	
[7/12/21 12:28AM] Sender: Wooshkax, Message: Sell votes for weapon	
[7/12/21 12:28AM] Sender: Wooshkax, Message: Pm me	
[7/12/21 12:33AM] Sender: Song, Message: Buying bonds	
[7/12/21 12:34AM] Sender: Wooshkax, Message: Can somene sell me crystalized bow pm me	
[7/12/21 01:34AM] Sender: Bryson, Message: Anyone selling combatant?	
[7/12/21 01:34AM] Sender: Bryson, Message: Any host?	
[7/12/21 01:42AM] Sender: Bryson, Message: Pc votes	
[7/12/21 02:52AM] Sender: Bryson, Message: Anyone selling crystal bow?	
[7/12/21 03:10AM] Sender: Egg, Message: What to do at halls of valor?	
[7/12/21 03:10AM] Sender: Egg, Message: I killed him now what lol?	
[7/12/21 03:10AM] Sender: Oli, Message: Kill all 4 bosses	
[7/12/21 03:23AM] Sender: Egg, Message: How does halls of valor work?	
[7/12/21 03:25AM] Sender: Egg, Message: I cant hurt skreeg?	
[7/12/21 04:29AM] Sender: Luke, Message: Anyone have wep i can have a cheap one pls i gave mine away yday	
[7/12/21 04:29AM] Sender: Luke, Message: Wrong chat mb	
[7/12/21 05:23AM] Sender: Pup, Message: Anyone want to buy monkioh body?	
[7/12/21 05:44AM] Sender: Jeff bezos, Message: Is max cape 120 all stats or just combat	
[7/12/21 05:44AM] Sender: Jeff bezos, Message: Fk wrong chat	
[7/12/21 05:45AM] Sender: Pup, Message: All 120	
[7/12/21 05:46AM] Sender: Pup, Message: Lmk when oli is back	
[7/12/21 06:11AM] Sender: Die or live, Message: Guys pc t6 helm/aura	
[7/12/21 06:12AM] Sender: Gandalf, Message: Helm 500-750k	
[7/12/21 06:12AM] Sender: Oli, Message: Aura 1-1.5m	
[7/12/21 06:20AM] Sender: Gandalf, Message: Can u sell fenrir pet back to shop?	
[7/12/21 06:54AM] Sender: Bigboy bazza, Message: Is there guide for wich gear u should buy etc?	
[7/12/21 07:11AM] Sender: Gandalf, Message: Oli	
[7/12/21 07:11AM] Sender: Gandalf, Message: U take dbones as bet?	
[7/12/21 07:11AM] Sender: Oli, Message: Eh	
[7/12/21 07:11AM] Sender: Oli, Message: If i can match em sure	
[7/12/21 07:11AM] Sender: Gandalf, Message: They are 200 each easily.	
[7/12/21 07:11AM] Sender: Oli, Message: Only matching them	
[7/12/21 07:12AM] Sender: Gandalf, Message: Lol	
[7/12/21 07:17AM] Sender: Helio, Message: Who won?	
[7/12/21 07:17AM] Sender: Oli, Message: Swish	
[7/12/21 07:21AM] Sender: Gandalf, Message: Oli ill bet 1.4k dbones vs 150k	
[7/12/21 07:21AM] Sender: Oli, Message: Nty	
[7/12/21 07:22AM] Sender: Oli, Message: Told ya, only matching dbones	
[7/12/21 07:22AM] Sender: Gandalf, Message: Lol	
[7/12/21 07:22AM] Sender: Gandalf, Message: Hm dbones do u have?	
[7/12/21 07:22AM] Sender: Oli, Message: 595	
[7/12/21 07:22AM] Sender: Gandalf, Message: Zzz.	
[7/12/21 07:22AM] Sender: Gandalf, Message: Why not just match and pay items or cash for the rest?	
[7/12/21 07:22AM] Sender: Oli, Message: Not risking tokens vs dbones i dont need :?	
[7/12/21 07:23AM] Sender: Gandalf, Message: Paying 50% under too.	
[7/12/21 07:23AM] Sender: Oli, Message: Go sell for double the amount then bud	
[7/12/21 07:24AM] Sender: Gandalf, Message: Lol	
[7/12/21 07:24AM] Sender: Gandalf, Message: How much do u price crystalized pieces at?	
[7/12/21 07:25AM] Sender: Oli, Message: I dont, i match them	
[7/12/21 07:25AM] Sender: Gandalf, Message: -.-	
[7/12/21 07:25AM] Sender: Gandalf, Message: So i cant bet other stuff vs it?	
[7/12/21 07:39AM] Sender: Swisherman, Message: Lmao	
[7/12/21 07:40AM] Sender: Helio, Message: Trading ranger legs for mele legs	
[7/12/21 07:41AM] Sender: Swisherman, Message: Where do you see server perks	
[7/12/21 07:54AM] Sender: Way2lucky, Message: I have to say oli made it right he does pay in on what he owes	
[7/12/21 08:26AM] Sender: Swisherman, Message: Noice bradddd	
