[7/9/21 03:37PM]  [ Sad ] Player received drop: x1 Execution helm, id: 4684, amount: 1, from: Lucifer	
[7/9/21 03:45PM]  [ Raz0156 ] Player received drop: x1 Icey staff of festive, id: 14924, amount: 1, from: Squirtle	
[7/9/21 03:47PM]  [ Rat ] Player received drop: x1 Icey staff of festive, id: 14924, amount: 1, from: Mewtwo	
[7/9/21 03:47PM]  [ Imn0tbad ] Player received drop: x1 Icey staff of festive, id: 14924, amount: 1, from: Squirtle	
[7/9/21 03:47PM]  [ James ] Player received drop: x1 Nature crossbow, id: 14919, amount: 1, from: Luigi	
[7/9/21 03:49PM]  [ Vigil ] Player received drop: x1 Nature crossbow, id: 14919, amount: 1, from: Squirtle	
[7/9/21 03:52PM]  [ Myers ] Player received drop: x1 Nature crossbow, id: 14919, amount: 1, from: Squirtle	
[7/9/21 03:56PM]  [ Gibbes ] Player received drop: x1 Demonic Sword, id: 14915, amount: 1, from: Mewtwo	
[7/9/21 03:57PM]  [ Kix ] Player received drop: x1 Nature crossbow, id: 14919, amount: 1, from: Mewtwo	
[7/9/21 03:58PM]  [ Kana ] Player received drop: x1 Nature crossbow, id: 14919, amount: 1, from: Squirtle	
[7/9/21 03:58PM]  [ Myers ] Player received drop: x1 Demonic Sword, id: 14915, amount: 1, from: Squirtle	
[7/9/21 03:59PM]  [ Vibe ] Player received drop: x1 Icey staff of festive, id: 14924, amount: 1, from: Luigi	
[7/9/21 04:00PM]  [ High ] Player received drop: x1 Demonic Sword, id: 14915, amount: 1, from: Mewtwo	
[7/9/21 04:01PM]  [ Kaleb ] Player received drop: x1 Nature crossbow, id: 14919, amount: 1, from: Sonic	
[7/9/21 04:04PM]  [ Ao ] Player received drop: x1 Nature crossbow, id: 14919, amount: 1, from: Squirtle	
[7/9/21 04:05PM]  [ Daxs ] Player received drop: x1 Nature crossbow, id: 14919, amount: 1, from: Squirtle	
[7/9/21 04:05PM]  [ Drrdeath ] Player received drop: x1 Demonic Sword, id: 14915, amount: 1, from: Squirtle	
[7/9/21 04:08PM]  [ Remorse ] Player received drop: x1 Vindicta legs, id: 23077, amount: 1, from: Fractite Demon	
[7/9/21 04:08PM]  [ Kai ] Player received drop: x1 Demonic Sword, id: 14915, amount: 1, from: Sonic	
[7/9/21 04:08PM]  [ Kai ] Player received drop: x1 Demonic Sword, id: 14915, amount: 1, from: Sonic	
[7/9/21 04:09PM]  [ Scottpilgrim ] Player received drop: x1 Demonic Sword, id: 14915, amount: 1, from: Squirtle	
[7/9/21 04:09PM]  [ Hell ] Player received drop: x1 Nature crossbow, id: 14919, amount: 1, from: Luigi	
[7/9/21 04:12PM]  [ Ivan ] Player received drop: x1 Icey staff of festive, id: 14924, amount: 1, from: Mewtwo	
[7/9/21 04:13PM]  [ Alsinda ] Player received drop: x1 Nature crossbow, id: 14919, amount: 1, from: Luigi	
[7/9/21 04:14PM]  [ Crow ] Player received drop: x1 Icey staff of festive, id: 14924, amount: 1, from: Mewtwo	
[7/9/21 04:15PM]  [ Alsinda ] Player received drop: x1 Nature crossbow, id: 14919, amount: 1, from: Luigi	
[7/9/21 04:19PM]  [ Aion ] Player received drop: x1 Icey staff of festive, id: 14924, amount: 1, from: Luigi	
[7/9/21 04:21PM]  [ Netavarupals ] Player received drop: x1 Icey staff of festive, id: 14924, amount: 1, from: Luigi	
[7/9/21 04:22PM]  [ Ihitthat ] Player received drop: x1 Icey staff of festive, id: 14924, amount: 1, from: Luigi	
[7/9/21 04:22PM]  [ Jouni ] Player received drop: x1 Crystalized boots, id: 14064, amount: 1, from: Scarlet Falcon	
[7/9/21 04:24PM]  [ Bearboy ] Player received drop: x1 Icey staff of festive, id: 14924, amount: 1, from: Mewtwo	
[7/9/21 04:24PM]  [ Crow ] Player received drop: x1 Icey staff of festive, id: 14924, amount: 1, from: Mewtwo	
[7/9/21 04:24PM]  [ Dannysahne ] Player received drop: x1 Nature crossbow, id: 14919, amount: 1, from: Sonic	
[7/9/21 04:26PM]  [ Netavarupals ] Player received drop: x1 Icey staff of festive, id: 14924, amount: 1, from: Luigi	
[7/9/21 04:33PM]  [ Sasha ] Player received drop: x1 Icey staff of festive, id: 14924, amount: 1, from: Squirtle	
[7/9/21 04:35PM]  [ Daxs ] Player received drop: x1 Nature crossbow, id: 14919, amount: 1, from: Mewtwo	
[7/9/21 04:35PM]  [ Cryptic ] Player received drop: x1 Moonlight spirit shield, id: 20057, amount: 1, from: Eternal Dragon	
[7/9/21 04:35PM]  [ Aa ] Player received drop: x1 Icey staff of festive, id: 14924, amount: 1, from: Sonic	
[7/9/21 04:37PM]  [ Stiffymn ] Player received drop: x1 Icey staff of festive, id: 14924, amount: 1, from: Squirtle	
[7/9/21 04:41PM]  [ Z3m0s ] Player received drop: x1 Icey staff of festive, id: 14924, amount: 1, from: Mewtwo	
[7/9/21 04:42PM]  [ Cryptic ] Player received drop: x1 Moonlight cape, id: 19909, amount: 1, from: Eternal Dragon	
[7/9/21 04:50PM]  [ The Killer 1 ] Player received drop: x1 Nature crossbow, id: 14919, amount: 1, from: Squirtle	
[7/9/21 04:51PM]  [ Jonkie ] Player received drop: x1 Demonic Sword, id: 14915, amount: 1, from: Squirtle	
[7/9/21 04:54PM]  [ Brabble ] Player received drop: x1 Nature crossbow, id: 14919, amount: 1, from: Luigi	
[7/9/21 04:59PM]  [ Jeepr ] Player received drop: x1 Icey staff of festive, id: 14924, amount: 1, from: Sonic	
[7/9/21 04:59PM]  [ 420bad ] Player received drop: x1 Demonic Sword, id: 14915, amount: 1, from: Squirtle	
[7/9/21 05:00PM]  [ Slippy ] Player received drop: x1 Nature crossbow, id: 14919, amount: 1, from: Patrick	
[7/9/21 05:02PM]  [ Crift ] Player received drop: x1 Demonic Sword, id: 14915, amount: 1, from: Squirtle	
[7/9/21 05:02PM]  [ No1killme ] Player received drop: x1 Demonic Sword, id: 14915, amount: 1, from: Squirtle	
