[7/8/21 05:22PM]  [ Brabble ] Received item from Divine. Name: Creator's body. Id: 23128, amount: 1	
[7/8/21 05:22PM]  [ Brabble ] Received item from Divine. Name: Creator's wings. Id: 23133, amount: 1	
[7/8/21 05:22PM]  [ Brabble ] Received item from Divine. Name: Creator's legs. Id: 23129, amount: 1	
[7/8/21 05:22PM]  [ Brabble ] Received item from Divine. Name: Creator's scythe. Id: 23132, amount: 1	
[7/8/21 05:22PM]  [ Brabble ] Received item from Divine. Name: Creator's gloves. Id: 23130, amount: 1	
[7/8/21 05:22PM]  [ Brabble ] Received item from Divine. Name: Creator's boots. Id: 23131, amount: 1	
[7/8/21 05:22PM]  [ Brabble ] Received item from Divine. Name: Creator's helm. Id: 23127, amount: 1	
[7/8/21 05:22PM]  [ Divine ] Gave item to Brabble. Name: Creator's body. Id: 23128, amount: 1	
[7/8/21 05:22PM]  [ Divine ] Gave item to Brabble. Name: Creator's wings. Id: 23133, amount: 1	
[7/8/21 05:22PM]  [ Divine ] Gave item to Brabble. Name: Creator's legs. Id: 23129, amount: 1	
[7/8/21 05:22PM]  [ Divine ] Gave item to Brabble. Name: Creator's scythe. Id: 23132, amount: 1	
[7/8/21 05:22PM]  [ Divine ] Gave item to Brabble. Name: Creator's gloves. Id: 23130, amount: 1	
[7/8/21 05:22PM]  [ Divine ] Gave item to Brabble. Name: Creator's boots. Id: 23131, amount: 1	
[7/8/21 05:22PM]  [ Divine ] Gave item to Brabble. Name: Creator's helm. Id: 23127, amount: 1	
[7/8/21 07:19PM]  [ Didy ] Received item from Ping. Name: Melee attachement. Id: 23147, amount: 1	
[7/8/21 07:19PM]  [ Didy ] Received item from Ping. Name: Magic attachement. Id: 23148, amount: 1	
[7/8/21 07:19PM]  [ Didy ] Received item from Ping. Name: Ranged attachement. Id: 23149, amount: 1	
[7/8/21 07:19PM]  [ Ping ] Gave item to Didy. Name: Melee attachement. Id: 23147, amount: 1	
[7/8/21 07:19PM]  [ Ping ] Gave item to Didy. Name: Magic attachement. Id: 23148, amount: 1	
[7/8/21 07:19PM]  [ Ping ] Gave item to Didy. Name: Ranged attachement. Id: 23149, amount: 1	
[7/8/21 07:42PM]  [ Didy ] Received item from Ping. Name: Archer gloves. Id: 23098, amount: 1	
[7/8/21 07:42PM]  [ Didy ] Received item from Ping. Name: Warrior gloves. Id: 23097, amount: 1	
[7/8/21 07:42PM]  [ Didy ] Received item from Ping. Name: Wizard gloves. Id: 23096, amount: 1	
[7/8/21 07:42PM]  [ Didy ] Received item from Ping. Name: Warrior gloves. Id: 23097, amount: 1	
[7/8/21 07:42PM]  [ Didy ] Received item from Ping. Name: Wizard gloves. Id: 23096, amount: 1	
[7/8/21 07:42PM]  [ Didy ] Received item from Ping. Name: Archer gloves. Id: 23098, amount: 1	
[7/8/21 07:42PM]  [ Ping ] Gave item to Didy. Name: Archer gloves. Id: 23098, amount: 1	
[7/8/21 07:42PM]  [ Ping ] Gave item to Didy. Name: Warrior gloves. Id: 23097, amount: 1	
[7/8/21 07:42PM]  [ Ping ] Gave item to Didy. Name: Wizard gloves. Id: 23096, amount: 1	
